has,prefers,count
"EP1812958 A1","US4043983 A",3
"WO1999047498 A1","US4043983 A",9
"CA1074491 A1","US4043983 A",32
"US4007252 A","US4043983 A",2
"US7429443 B2","US4043983 A",26
"WO1993022221 A1","US4043983 A",24
"US7921465 B2","US4043983 A",1
"US4214067 A","US4043983 A",35
"US20130344269 A1","US4043983 A",12
"US4313858 A","US4043983 A",36
"US8229899 B2","US4043983 A",2
"US6492088 B1","US4043983 A",20
"US6312753 B1","US4043983 A",26
"US20140378603 A1","US4043983 A",25
"EP1883517 A2","US4043983 A",26
"US4043983 A","US7921465 B2",1
"CA1074491 A1","US4214067 A",35
"US4214067 A","CA1074491 A1",3
"US4043983 A","US20130344269 A1",12
"US7429443 B2","US4313858 A",36
"US4043983 A","US8229899 B2",2
"CA1074491 A1","US6492088 B1",20
"CA1074491 A1","US6312753 B1",26
"CA1074491 A1","US20140378603 A1",25
"CA1074491 A1","EP1883517 A2",26
"CA1074491 A1","CN203425834 U",1
"CA1074491 A1","CN103243392 A",6
"CA1074491 A1","EP0636279 A1",35
"CA1074491 A1","US8420625 B2",19
"CA1074491 A1","EP0603146 A1",19
